frY;frI;frC;frS;frEx;FrImp;frH;frP;frR;grY;grI;grC;grS;grEx;grImp;grH;grP;grR
0.908103577;0.235126402;0.808481486;0.622410324;0.30491193;0.371848961;2.881706749;0.006951813;0.003543;0.937403757;0.229534217;0.640925187;0.640925187;0.598136818;0.527581546;2.940404129;0.004806931;0.003543
0.912237875;0.251560473;0.812434782;0.625149429;0.325125268;0.39563507;2.881633369;0.006650086;0.004536;0.944131751;0.23927142;0.644682387;0.644682387;0.618149299;0.545413464;2.942843329;0.004797277;0.004536
0.911702103;0.239941533;0.814368978;0.625930663;0.346596121;0.418348948;2.883209597;0.007072832;0.004981;0.947327306;0.244582586;0.647377976;0.647377976;0.649858085;0.573339095;2.946138317;0.005948339;0.004981
0.915959119;0.271540836;0.81629392;0.627315107;0.36978735;0.455359728;2.884738021;0.007731364;0.006587;0.951960353;0.279123293;0.649937807;0.649937807;0.667461386;0.59880982;2.947738667;0.008077447;0.006587
0.911474099;0.265363229;0.809049212;0.624796682;0.383317123;0.467711072;2.885440171;0.008880105;0.01124;0.951503972;0.282890415;0.652194115;0.652194115;0.692151461;0.628241167;2.947435508;0.008605853;0.01124
0.913054916;0.266163695;0.810556591;0.626440808;0.379607883;0.464067843;2.885139793;0.009190161;0.010055;0.954191068;0.284681328;0.652972768;0.652972768;0.688745002;0.622537333;2.948124082;0.009438447;0.010055
0.912613988;0.259406241;0.808231249;0.626496646;0.360908845;0.435100669;2.884707568;0.010479565;0.00627;0.95439208;0.279306736;0.654626669;0.654626669;0.66421451;0.594335904;2.948180443;0.00954845;0.00627
0.910763225;0.253619216;0.808479177;0.626109059;0.354657211;0.430511312;2.884569567;0.009936471;0.003567;0.952415901;0.251508008;0.656829371;0.656829371;0.660132255;0.582849835;2.947682024;0.009191013;0.003567
0.906744521;0.24760406;0.805480462;0.624038903;0.342261479;0.421623988;2.883217441;0.008599586;0.00332;0.95230151;0.241574141;0.660832689;0.660832689;0.651926952;0.570069637;2.946675217;0.00802057;0.00332
0.908842993;0.251743424;0.806380215;0.625964249;0.337883532;0.408049799;2.882275855;0.00850133;0.000993;0.953591164;0.237670461;0.660739933;0.660739933;0.643999899;0.557094116;2.946515834;0.008683378;0.000993
0.907368376;0.23742944;0.806606121;0.626512922;0.34132997;0.409339645;2.881268506;0.006604694;0.000734;0.952029772;0.241889993;0.662137071;0.662137071;0.648946759;0.565615455;2.946798935;0.008652683;0.000734
0.908807501;0.240110215;0.807753808;0.626485218;0.351053014;0.421417312;2.880942226;0.004584711;0.00067;0.951628625;0.239923713;0.662253719;0.662253719;0.655617022;0.569458929;2.942955328;0.006664496;0.00067
0.910344873;0.246503245;0.806696952;0.62618947;0.341351131;0.410532212;2.880143075;0.00348868;0.000862;0.955862055;0.258104223;0.664785948;0.664785948;0.648975253;0.565617465;2.945752823;0.006503815;0.000862
0.908985963;0.245335803;0.807434203;0.627795218;0.342781089;0.415367763;2.88029683;0.004058311;0.000803;0.956846355;0.258419048;0.665634181;0.665634181;0.6523818;0.567184305;2.948230574;0.007014885;0.000803
0.910987575;0.242750011;0.809135527;0.628913672;0.354006504;0.425815055;2.880091335;0.002814659;0.001686;0.958355247;0.254790464;0.668245659;0.668245659;0.670775767;0.579348227;2.948219119;0.005765056;0.001686
0.910913002;0.24902169;0.808061966;0.629457894;0.360036068;0.425616985;2.879448045;0.003145914;0.001919;0.964865627;0.27912242;0.673659992;0.673659992;0.672697099;0.591233945;2.950449166;0.005204474;0.001919
0.910038705;0.250056302;0.807444226;0.628826738;0.352643894;0.419609339;2.878631909;0.002724676;0.000758;0.966035744;0.278879037;0.675810902;0.675810902;0.672619642;0.585373961;2.949496532;0.004644905;0.000758
0.913544983;0.262674727;0.80885877;0.630721913;0.341180247;0.41432445;2.878028365;0.001725666;0.000066;0.966594728;0.263879425;0.677140593;0.677140593;0.666828829;0.57080558;2.948681997;0.003668394;0.000066
